storm.id  storm.name  n.obs  storm.duration  storm.pdi  max.wind  storm.year
EP101993  IRWIN  6  129600  1677373114.3  60  1993
EP101994  JOHN  121  2613600  209216179000.711  150  1994
EP101995  ISMAEL  13  280800  6480843305.96296  70  1995
EP101997  HILDA  21  453600  2963248887.65555  45  1997
EP101998  ISIS  12  259200  4909339895.12963  65  1998
EP102001  IVO  19  410400  2571016340.43704  45  2001
EP102002  HERNAN  31  669600  63997132936.1889  140  2002
EP102003  JIMENA  35  756000  21238271242.3148  90  2003
EP102004  GEORGETTE  33  712800  4507549666.34815  55  2004
EP102005  JOVA  53  1144800  67850716621.7481  110  2005
EP102006  ILEANA  32  691200  29875842153.2741  105  2006
EP102009  GUILLERMO  46  993600  31065038301.5889  110  2009
EP102012  JOHN  20  432000  1457546438.35185  40  2012
EP102013  JULIETTE  10  216000  1782507611.49259  55  2013
EP102014  JULIO  66  1425600  52462849305.3778  105  2014
EP102015  HILDA  36  777600  48219606294.5592  125  2015
EP102016  IVETTE  33  712800  5130636983.62593  50  2016
EP111972  KATHLEEN  7  151200  882247528.888889  40  1972
EP111982  KRISTY  34  734400  17915874089.7741  80  1982
EP111983  KIKO  36  777600  78625532171.4407  125  1983
EP111986  KAY  24  518400  2244584754.74815  40  1986
EP111987  KNUT  9  194400  812035329.714815  35  1987
EP111990  UNNAMED  10  216000  392232547.218518  25  1990
EP111991  IGNACIO  13  280800  2907373210.82593  55  1991
EP111992  JAVIER  50  1080000  13860476281.9815  70  1992
EP111993  JOVA  32  691200  38715227186.4667  115  1993
EP111994  ILEANA  18  388800  5570290335.52222  65  1994
EP111995  JULIETTE  41  885600  77316497400.4518  130  1995
EP111997  IGNACIO  14  302400  916802223.77037  35  1997
EP111998  JAVIER  33  712800  3429002062.28148  50  1998
EP112001  JULIETTE  48  1036800  72739838344.3407  125  2001
EP112002  UNNAMED  18  388800  1038846465.26667  30  2002
EP112003  KEVIN  28  604800  1328150134.11481  35  2003
EP112004  HOWARD  44  950400  33974984734.3741  120  2004
EP112005  KENNETH  65  1404000  68931837447.7741  115  2005
EP112006  JOHN  31  669600  51047577227.7852  115  2006
EP112009  HILDA  42  907200  6142648419.88889  55  2009
EP112012  KRISTY  33  712800  4941321368.05185  50  2012
EP112013  KIKO  23  496800  4076718789.74074  65  2013
EP112014  KARINA  63  1360800  20803396731.2  75  2014
EP112015  ELEVEN  17  367200  900627685.740741  30  2015
EP112016  JAVIER  16  345600  2623951192.17037  55  2016
EP121972  LIZA  9  194400  1301682708.24815  45  1972
EP121982  LANE  26  561600  4754578974.43704  55  1982
EP121983  LORENA  34  734400  37209524737.163  100  1983
EP121986  LESTER  14  302400  2095337881.11111  45  1986
EP121987  LIDIA  21  453600  9133099939.68518  75  1987
EP121990  UNNAMED  14  302400  888496782.218518  30  1990
EP121991  JIMENA  46  993600  99635521865.6555  115  1991
EP121992  UNNAMED  13  280800  742190733.677778  30  1992
EP121993  KENNETH  50  1080000  73491219156.4444  130  1993
EP121994  UNNAMED  15  324000  1090678507.58889  30  1994
EP121997  JIMENA  19  410400  36141270020.9333  115  1997
EP121998  UNNAMED  8  172800  601766335.329629  30  1998
EP122001  KIKO  17  367200  4906031466.8963  65  2001
EP122002  ISELLE  22  475200  4855669837.12222  60  2002
EP122003  LINDA  39  842400  5612197093.14444  65  2003
EP122004  ISIS  52  1123200  8737926567.37037  65  2004
EP122005  LIDIA  7  151200  675654565.874074  35  2005
EP122006  KRISTY  42  907200  8851148333.57778  70  2006
EP122009  IGNACIO  17  367200  2402654103.67407  45  2009
EP122012  LANE  20  432000  8234677872.76667  75  2012
EP122013  LORENA  19  410400  1908227884.35926  45  2013
EP122014  LOWELL  48  1036800  9571282879.03333  65  2014
EP122015  IGNACIO  50  1080000  66911490606.6185  125  2015
EP122016  KAY  38  820800  4176706843.01481  45  2016
EP131982  MIRIAM  32  691200  19417532904.5704  75  1982
EP131983  MANUEL  34  734400  32234016277.3667  100  1983
EP131986  MADELINE  28  604800  6453640673.82222  60  1986
EP131987  MAX  29  626400  68289267164.2333  135  1987
EP131990  JULIO  32  691200  31124222406.6518  100  1990
EP131991  KEVIN  70  1512000  152247250441.533  125  1991
EP131992  KAY  19  410400  2595278147.48148  45  1992
EP131993  LIDIA  24  518400  42192017656.563  130  1993
EP131994  KRISTY  30  648000  13373402125.4074  90  1994
EP131997  KEVIN  14  302400  2488673237.74074  50  1997
EP131998  KAY  17  367200  4057603426.61481  65  1998
EP132001  LORENA  12  259200  2004539906.26296  50  2001
EP132002  JULIO  7  151200  799904426.192592  40  2002
EP132003  MARTY  30  648000  12125021872.0296  85  2003
EP132004  JAVIER  38  820800  84967789094.7407  130  2004
EP132005  MAX  21  453600  7843548134.95926  70  2005
EP132006  LANE  16  345600  17539080874.3111  110  2006
EP132009  JIMENA  35  756000  75544650279.9333  135  2009
EP132012  MIRIAM  44  950400  24098223648.463  105  2012
EP132013  MANUEL  26  561600  7266043606.67407  65  2013
EP132014  MARIE  46  993600  64834532882.3593  140  2014
EP132015  JIMENA  63  1360800  125572496405.578  135  2015
EP132016  LESTER  60  1296000  98380157152.6741  125  2016
EP141982  NORMAN  36  777600  25733690005.1407  90  1982
EP141983  NARDA  41  885600  8460018595.77037  60  1983
EP141986  NEWTON  23  496800  11412606992.4519  75  1986
EP141987  NORMA  25  540000  5804453533.81481  65  1987
EP141990  KENNA  36  777600  18337882491.0926  75  1990
EP141991  LINDA  42  907200  24530524937.6185  105  1991
EP141992  LESTER  20  432000  6559510377.28889  70  1992
EP141993  UNNAMED  18  388800  1083326444.84815  30  1993
EP141994  LANE  28  604800  35170430136.0185  115  1994
EP141997  LINDA  34  734400  107066986883.996  160  1997
EP141998  LESTER  47  1015200  58497054799.8407  100  1998
